id,text,translation,source_citation,parses
la-s1,Puella dominum videt.,The girl sees the master.,constructed for practice,"puella|puella|case=nom,number=sg,gender=f;dominus|dominum|case=acc,number=sg,gender=m;video|videt|person=3,number=sg,tense=pres,mood=ind,voice=act"
la-s2,Miles bellum amat.,The soldier loves the war.,constructed for practice,"miles|miles|case=nom,number=sg,gender=m;bellum|bellum|case=acc,number=sg,gender=n;amo|amat|person=3,number=sg,tense=pres,mood=ind,voice=act"
la-s3,Bona puella hunc dominum videt.,The good girl sees this master.,constructed for practice,"bonus|Bona|case=nom,number=sg,gender=f;puella|puella|case=nom,number=sg,gender=f;hic|hunc|case=acc,number=sg,gender=m;dominus|dominum|case=acc,number=sg,gender=m;video|videt|person=3,number=sg,tense=pres,mood=ind,voice=act"
la-s4,Puella bona est.,The girl is good.,constructed for practice,"puella|Puella|case=nom,number=sg,gender=f;bonus|bona|case=nom,number=sg,gender=f;sum|est|person=3,number=sg,tense=pres,mood=ind,voice=act"
la-s5,Magnus miles parvam puellam videt.,The great soldier sees the small girl.,constructed for practice,"magnus|Magnus|case=nom,number=sg,gender=m;miles|miles|case=nom,number=sg,gender=m;parvus|parvam|case=acc,number=sg,gender=f;puella|puellam|case=acc,number=sg,gender=f;video|videt|person=3,number=sg,tense=pres,mood=ind,voice=act"
la-s6,Ille dominus eam amat.,That master loves her.,constructed for practice,"ille|Ille|case=nom,number=sg,gender=m;dominus|dominus|case=nom,number=sg,gender=m;is|eam|case=acc,number=sg,gender=f;amo|amat|person=3,number=sg,tense=pres,mood=ind,voice=act"
la-s7,Ipse dominus novum bellum videt.,The master himself sees the new war.,constructed for practice,"ipse|Ipse|case=nom,number=sg,gender=m;dominus|dominus|case=nom,number=sg,gender=m;novus|novum|case=acc,number=sg,gender=n;bellum|bellum|case=acc,number=sg,gender=n;video|videt|person=3,number=sg,tense=pres,mood=ind,voice=act"
la-s8,Is puellam amat.,He loves the girl.,constructed for practice,"is|Is|case=nom,number=sg,gender=m;puella|puellam|case=acc,number=sg,gender=f;amo|amat|person=3,number=sg,tense=pres,mood=ind,voice=act"
la-s9,Dominus militem regit.,The master rules the soldier.,constructed for practice,"dominus|Dominus|case=nom,number=sg,gender=m;miles|militem|case=acc,number=sg,gender=m;rego|regit|person=3,number=sg,tense=pres,mood=ind,voice=act"
la-s10,Miles dominum capit.,The soldier captures the master.,constructed for practice,"miles|Miles|case=nom,number=sg,gender=m;dominus|dominum|case=acc,number=sg,gender=m;capio|capit|person=3,number=sg,tense=pres,mood=ind,voice=act"
la-s11,Puella dominum audit.,The girl hears the master.,constructed for practice,"puella|Puella|case=nom,number=sg,gender=f;dominus|dominum|case=acc,number=sg,gender=m;audio|audit|person=3,number=sg,tense=pres,mood=ind,voice=act"
la-s12,Miles urbem regit.,The soldier rules the city.,constructed for practice,"miles|Miles|case=nom,number=sg,gender=m;urbs|urbem|case=acc,number=sg,gender=f;rego|regit|person=3,number=sg,tense=pres,mood=ind,voice=act"
la-s13,Dominus civem videt.,The master sees the citizen.,constructed for practice,"dominus|Dominus|case=nom,number=sg,gender=m;civis|civem|case=acc,number=sg,gender=m;video|videt|person=3,number=sg,tense=pres,mood=ind,voice=act"
