id,headword,pos,meaning,gender,declension,genitive,conjugation,principal_parts,forms
puella,puella,noun,girl,f,1,puellae,,,
dominus,dominus,noun,master,m,2,domini,,,
bellum,bellum,noun,war,n,2,belli,,,
miles,miles,noun,soldier,m,3,militis,,,
manus,manus,noun,hand,f,4,manus,,,
res,res,noun,thing,f,5,rei,,,
amo,amo,verb,love,,,,1,amo;amare;amavi;amatus,
video,video,verb,see,,,,2,video;videre;vidi;visus,
bonus,bonus,adjective,good,,1-2,,,,bonus;bona;bonum
hic,hic,pronoun,this,,,,,,nom-sg-m=hic;gen-sg-m=huius;dat-sg-m=huic;acc-sg-m=hunc;abl-sg-m=hoc;voc-sg-m=hic;nom-sg-f=haec;gen-sg-f=huius;dat-sg-f=huic;acc-sg-f=hanc;abl-sg-f=hac;voc-sg-f=haec;nom-sg-n=hoc;gen-sg-n=huius;dat-sg-n=huic;acc-sg-n=hoc;abl-sg-n=hoc;voc-sg-n=hoc;nom-pl-m=hi;gen-pl-m=horum;dat-pl-m=his;acc-pl-m=hos;abl-pl-m=his;voc-pl-m=hi;nom-pl-f=hae;gen-pl-f=harum;dat-pl-f=his;acc-pl-f=has;abl-pl-f=his;voc-pl-f=hae;nom-pl-n=haec;gen-pl-n=horum;dat-pl-n=his;acc-pl-n=haec;abl-pl-n=his;voc-pl-n=haec
sum,sum,verb,be,,,,irr,sum;esse;fui,pres-1sg=sum;pres-2sg=es;pres-3sg=est;pres-1pl=sumus;pres-2pl=estis;pres-3pl=sunt;impf-1sg=eram;impf-2sg=eras;impf-3sg=erat;impf-1pl=eramus;impf-2pl=eratis;impf-3pl=erant;fut-1sg=ero;fut-2sg=eris;fut-3sg=erit;fut-1pl=erimus;fut-2pl=eritis;fut-3pl=erunt;perf-1sg=fui;perf-2sg=fuisti;perf-3sg=fuit;perf-1pl=fuimus;perf-2pl=fuistis;perf-3pl=fuerunt
magnus,magnus,adjective,big/great,,1-2,,,,magnus;magna;magnum
parvus,parvus,adjective,small,,1-2,,,,parvus;parva;parvum
novus,novus,adjective,new,,1-2,,,,novus;nova;novum
is,is,pronoun,he/she/it; that,,,,,,nom-sg-m=is;gen-sg-m=eius;dat-sg-m=ei;acc-sg-m=eum;abl-sg-m=eo;nom-sg-f=ea;gen-sg-f=eius;dat-sg-f=ei;acc-sg-f=eam;abl-sg-f=ea;nom-sg-n=id;gen-sg-n=eius;dat-sg-n=ei;acc-sg-n=id;abl-sg-n=eo;nom-pl-m=ei;gen-pl-m=eorum;dat-pl-m=eis;acc-pl-m=eos;abl-pl-m=eis;nom-pl-f=eae;gen-pl-f=earum;dat-pl-f=eis;acc-pl-f=eas;abl-pl-f=eis;nom-pl-n=ea;gen-pl-n=eorum;dat-pl-n=eis;acc-pl-n=ea;abl-pl-n=eis
ille,ille,pronoun,that,,,,,,nom-sg-m=ille;gen-sg-m=illius;dat-sg-m=illi;acc-sg-m=illum;abl-sg-m=illo;nom-sg-f=illa;gen-sg-f=illius;dat-sg-f=illi;acc-sg-f=illam;abl-sg-f=illa;nom-sg-n=illud;gen-sg-n=illius;dat-sg-n=illi;acc-sg-n=illud;abl-sg-n=illo;nom-pl-m=illi;gen-pl-m=illorum;dat-pl-m=illis;acc-pl-m=illos;abl-pl-m=illis;nom-pl-f=illae;gen-pl-f=illarum;dat-pl-f=illis;acc-pl-f=illas;abl-pl-f=illis;nom-pl-n=illa;gen-pl-n=illorum;dat-pl-n=illis;acc-pl-n=illa;abl-pl-n=illis
ipse,ipse,pronoun,himself/herself/itself,,,,,,nom-sg-m=ipse;gen-sg-m=ipsius;dat-sg-m=ipsi;acc-sg-m=ipsum;abl-sg-m=ipso;nom-sg-f=ipsa;gen-sg-f=ipsius;dat-sg-f=ipsi;acc-sg-f=ipsam;abl-sg-f=ipsa;nom-sg-n=ipsum;gen-sg-n=ipsius;dat-sg-n=ipsi;acc-sg-n=ipsum;abl-sg-n=ipso;nom-pl-m=ipsi;gen-pl-m=ipsorum;dat-pl-m=ipsis;acc-pl-m=ipsos;abl-pl-m=ipsis;nom-pl-f=ipsae;gen-pl-f=ipsarum;dat-pl-f=ipsis;acc-pl-f=ipsas;abl-pl-f=ipsis;nom-pl-n=ipsa;gen-pl-n=ipsorum;dat-pl-n=ipsis;acc-pl-n=ipsa;abl-pl-n=ipsis
cornu,cornu,noun,horn,n,4,cornus,,,
fortis,fortis,adjective,brave,,3,fortis,,,fortis;fortis;forte
