id,headword,pos,meaning,gender,declension,genitive,conjugation,principal_parts,forms
chora,χώρα,noun,land/country,f,1,χώρας,,,
logos,λόγος,noun,word/reason,m,2,λόγου,,,
doron,δῶρον,noun,gift,n,2,δώρου,,,
luo,λύω,verb,free/loosen,,,,1,λύω;λύσω;ἔλυσα;λέλυκα;ἐλύθην,
phero,φέρω,verb,carry/bear,,,,irr,"φέρω;οἴσω;ἤνεγκα;ἐνήνοχα;ἐνήνεγμαι;ἠνέχθην",pres-1sg=φέρω;fut-1sg=οἴσω;aor-1sg=ἤνεγκα
kalos,καλός,adjective,good/beautiful,,1-2,,,,καλός;καλή;καλόν
autos,αὐτός,pronoun,he/himself,,,,,,nom-sg-m=αὐτός;nom-sg-f=αὐτή;nom-sg-n=αὐτό;acc-sg-m=αὐτόν
eimi,εἰμί,verb,be,,,,irr,εἰμί;ἔσομαι,impf-3sg=ἦν;pres-3sg=ἐστίν
agathos,ἀγαθός,adjective,good,,1-2,,,,ἀγαθός;ἀγαθή;ἀγαθόν
kakos,κακός,adjective,bad/evil,,1-2,,,,κακός;κακή;κακόν
sophos,σοφός,adjective,wise,,1-2,,,,σοφός;σοφή;σοφόν
ekeinos,ἐκεῖνος,pronoun,that,,,,,,nom-sg-m=ἐκεῖνος;nom-sg-f=ἐκείνη;nom-sg-n=ἐκεῖνο
houtos,οὗτος,pronoun,this,,,,,,nom-sg-m=οὗτος;nom-sg-f=αὕτη;nom-sg-n=τοῦτο;acc-pl-n=ταῦτα
hode,ὅδε,pronoun,this here,,,,,,nom-sg-m=ὅδε;nom-sg-f=ἥδε;nom-sg-n=τόδε
en,ἐν,preposition,in/on (dat.),,,,,,
arche,ἀρχή,noun,beginning,f,1,ἀρχῆς,,,
ho,ὁ,article,the,m/f/n,,τοῦ,,,nom-sg-m=ὁ;acc-sg-m=τὸν;nom-pl-m=οἱ;acc-pl-m=τοὺς;acc-sg-f=τὴν;gen-sg-m=τοῦ;acc-pl-n=τὰ
kai,καί,conjunction,and/also,,,,,,
pros,πρός,preposition,with/toward (acc.),,,,,,
theos,θεός,noun,god,m,2,θεοῦ,,,acc-sg-m=θεόν;nom-sg-m=θεὸς
de,δέ,conjunction,but/and,,,,,,
anexetastos,ἀνεξέταστος,adjective,unexamined,,2nd,,,,ἀνεξέταστος;ἀνεξέταστος;ἀνεξέταστον
bios,βίος,noun,life,m,2,βίου,,,
ou,οὐ,adverb,not,,,,,,
biotos,βιωτός,adjective,worth living,,1st/2nd,,,,βιωτός;βιωτή;βιωτόν
anthropos,ἄνθρωπος,noun,human being,m,2,ἀνθρώπου,,,dat-sg-m=ἀνθρώπῳ
men,μὲν,particle,on the one hand,,,,,,
stratiotes,στρατιῶτης,noun,soldier,m,1,στρατιώτου,,,nom-pl-m=στρατιῶται
echo,ἔχω,verb,have/hold,,,,omega,ἔχω;ἕξω;ἔσχον;ἔσχηκα,pres-ptcp-nom-pl-m=ἔχοντες
hoplon,ὅπλον,noun,weapon/tool,n,2,ὅπλου,,,acc-pl-n=ὅπλα
eis,εἰς,preposition,into (acc.),,,,,,
polis,πόλις,noun,city,f,3,πόλεως,,,acc-sg-f=πόλιν
trecho,τρέχω,verb,run,,,,irr,τρέχω;δραμοῦμαι;ἔδραμον,aor-3pl-ind=ἔδραμον
hina,ἵνα,conjunction,in order that,,,,,,
polites,πολίτης,noun,citizen,m,1,πολίτου,,,acc-pl-m=πολίτας;nom-pl-m=πολῖται
sozo,σῴζω,verb,save,,,,omega,σῴζω;σώσω;ἔσωσα;σέσωκα,pres-3pl-opt=σῴζοιεν
basileus,βασιλεύς,noun,king,m,3,βασιλέως,,,gen-sg-m=βασιλέως
apothnesko,ἀποθνῄσκω,verb,die,,,,omega,ἀποθνῄσκω;ἀποθανοῦμαι;ἀπέθανον,aor-ptcp-gen-sg-m=ἀποθανόντος
phobeo,φοβέω,verb,fear,,,,contract,φοβέω;φοβήσω;ἐφόβησα,impf-3pl-mid=ἐφοβοῦντο
me,μή,adverb,lest/not,,,,,,
polemios,πολέμιος,adjective,hostile/enemy,,1st/2nd,,,,πολέμιος;πολεμία;πολέμιον
epitithemi,ἐπιτίθημι,verb,attack,,,,mi-verb,ἐπιτίθημι;ἐπιθήσω;ἐπέθηκα,aor-ptcp-nom-pl-m=ἐπιθέμενοι
diaphtheiro,διαφθείρω,verb,destroy,,,,omega,διαφθείρω;διαφθερῶ;διέφθειρα,aor-3pl-opt=διαφθείρειαν
ei,εἰ,conjunction,if,,,,,,
poietes,ποιητής,noun,poet,m,1,ποιητοῦ,,,nom-sg-m=ποιητὴς
grapho,γράφω,verb,write,,,,omega,γράφω;γράψω;ἔγραψα;γέγραφα,aor-3sg-ind=ἔγραψεν
pas,πᾶς,adjective,all/every,,1st/3rd,,,,πᾶς;πᾶσα;πᾶν
an,ἂν,particle,conditional particle,,,,,,
epaineo,ἐπαινέω,verb,praise,,,,contract,ἐπαινέω;ἐπαινέσω;ἐπῄνεσα,aor-3pl-ind=ἐπήνεσαν
gignosko,γιγνώσκω,verb,know,,,,omega,γιγνώσκω;γνώσομαι;ἔγνων,aor-2sg-imp=Γνῶθι
seautou,σεαυτοῦ,pronoun,yourself,,,,,,gen-sg-m=σεαυτοῦ;gen-sg-f=σεαυτῆς;dat-sg-m=σεαυτῷ;dat-sg-f=σεαυτῇ;acc-sg-m=σεαυτόν;acc-sg-f=σεαυτήν
aggelos,ἄγγελος,noun,messenger,m,2,ἀγγέλου,,,
erotao,ἐρωτάω,verb,ask,,,,contract,ἐρωτάω;ἐρωτήσω;ἠρώτησα,aor-3sg-ind=ἠρώτησε
pais,παῖς,noun,child,m/f,3,παιδός,,,acc-pl-m=παῖδας
tis,τίς,pronoun,what/who,,,,,,nom-sg-m=τίς;nom-sg-f=τίς;nom-sg-n=τί;gen-sg=τίνος;dat-sg=τίνα;acc-sg-n=τί
poieo,ποιέω,verb,do/make,,,,contract,ποιέω;ποιήσω;ἐποίησα,fut-3pl-opt=ποιήσειαν
pater,πατήρ,noun,father,m,3,πατρός,,,nom-sg-m=πατὴρ
aphikneomai,ἀφικνέομαι,verb,arrive,,,,deponent,ἀφικνέομαι;ἀφίξομαι;ἀφικόμην,aor-3sg-opt=ἀφίκοιτο
houto,οὕτω,adverb,so/thus,,,,,,
kalos_adv,καλῶς,adverb,well,,,,,,
lego,λέγω,verb,speak/say,,,,omega,λέγω;ἐρῶ;εἶπον,aor-3sg-ind=ἔλεξεν
hoste,ὥστε,conjunction,so that,,,,,,
akouo,ἀκούω,verb,hear/listen,,,,omega,ἀκούω;ἀκούσομαι;ἤκουσα,pres-ptcp-nom-pl-m=ἀκούοντες
thaumazo,θαυμάζω,verb,amaze/wonder,,,,omega,θαυμάζω;θαυμάσομαι;ἐθαύμασα,impf-3pl-ind=ἐθαύμαζον
aner,ἀνήρ,noun,man/husband,m,3,ἀνδρός,,,
gyne,γυνή,noun,woman/wife,f,3,γυναικός,,,
soma,σῶμα,noun,body,n,3,σώματος,,,
onoma,ὄνομα,noun,name,n,3,ὀνόματος,,,
ergon,ἔργον,noun,work/deed,n,2,ἔργου,,,
nomos,νόμος,noun,law/custom,m,2,νόμου,,,
hodos,ὁδός,noun,way/road,f,2,ὁδοῦ,,,
hemera,ἡμέρα,noun,day,f,1,ἡμέρας,,,
ge,γῆ,noun,earth/land,f,1,γῆς,,,
psyche,ψυχή,noun,soul/life,f,1,ψυχῆς,,,
doxa,δόξα,noun,opinion/glory,f,1,δόξης,,,
kardia,καρδία,noun,heart,f,1,καρδίας,,,
ophthalmos,ὀφθалμός,noun,eye,m,2,ὀφθαλμοῦ,,,
ouranos,οὐρανός,noun,heaven/sky,m,2,οὐρανοῦ,,,
cheir,χείρ,noun,hand,f,3,χειρός,,,
pneuma,πνεῦμα,noun,spirit/wind,n,3,πνεύματος,,,
hydor,ὕδωρ,noun,water,n,3,ὕδατος,,,
pyr,πῦρ,noun,fire,n,3,πυρός,,,
chronos,χρόνος,noun,time,m,2,χρόνου,,,
phos,φῶς,noun,light,n,3,φωτός,,,
moros,μωρός,adjective,foolish,,1st/2nd,,,,μωρός;μωρά;μωρόν
philos,φίλος,adjective,dear/beloved,,1st/2nd,,,,φίλος;φίλη;φίλον
alethes,ἀληθής,adjective,true,,3rd,,,,ἀληθής;ἀληθής;ἀληθές
dikaios,δίκαιος,adjective,just/righteous,,1st/2nd,,,,δίκαιος;δικαία;δίκαιον
mikros,μικρός,adjective,small/little,,1st/2nd,,,,μικρός;μικρά;μικρόν
protos,πρῶτος,adjective,first,,1st/2nd,,,,πρῶτος;πρώτη;πρῶτον
monos,μόνος,adjective,alone/only,,1st/2nd,,,,μόνος;μόνη;μόνον
polys,πολύς,adjective,much/many,,1st/2nd,,,,πολύς;πολλά;πολύ
megas,μέγας,adjective,great/large,,1st/2nd,,,,μέγας;μεγάλη;μέγα
horao,ὁράω,verb,see,,,,contract,"ὁράω;ὄψομαι;εἶδον;ἑώρακα;ἑώραμαι;ὤφθην",
erchomai,ἔρχομαι,verb,come/go,,,,deponent,"ἔρχομαι;ἐλεύσομαι;ἦλθον;ἐλήλυθα",
didomi,δίδωμι,verb,give,,,,mi-verb,"δίδωμι;δώσω;ἔδωκα;δέδωκα;δέδομαι;ἐδόθην",
tithemi,τίθημι,verb,put/place,,,,mi-verb,"τίθημι;θήσω;ἔθηκα;τέθεικα;τέθειμαι;ἐτέθην",
histemi,ἵστημι,verb,stand/set,,,,mi-verb,"ἵστημι;στήσω;ἔστησα;ἕστηκα;ἕσταμαι;ἐστάθην",
gignomai,γίγνομαι,verb,become/happen,,,,deponent,"γίγνομαι;γενήσομαι;ἐγενόμην;γέγονα",
lambano,λαμβάνω,verb,take/receive,,,,omega,"λαμβάνω;λήψομαι;ἔλαβον;εἴληφα;εἴλημμαι;ἐλήφθην",
